Year,State,Male_High_school_graduate_(includes_equivalency),Male_Bachelor_degree,Male_Graduate_or_professional_degree,Male_18-24_Less_than_9th_grade,"Male_18-24_9th_to_12th_grade,_no_diploma",Male_18-24_High_school_graduate_(includes_equivalency),"Male_18-24_Some_college,_no_degree",Male_18-24_Associate_degree,Male_18-24_Bachelor_degree,Male_18-24_Graduate_or_professional_degree,Male_25-34_Less_than_9th_grade,"Male_25-34_9th_to_12th_grade,_no_diploma",Male_25-34_High_school_graduate_(includes_equivalency),"Male_25-34_Some_college,_no_degree",Male_25-34_Associate_degree,Male_25-34_Bachelor_degree,Male_25-34_Graduate_or_professional_degree,Male_35-44_Less_than_9th_grade,"Male_35-44_9th_to_12th_grade,_no_diploma",Male_35-44_High_school_graduate_(includes_equivalency),"Male_35-44_Some_college,_no_degree",Male_35-44_Associate_degree,Male_35-44_Bachelor_degree,Male_35-44_Graduate_or_professional_degree,Male_45-64_Less_than_9th_grade,"Male_45-64_9th_to_12th_grade,_no_diploma",Male_45-64_High_school_graduate_(includes_equivalency),"Male_45-64_Some_college,_no_degree",Male_45-64_Associate_degree,Male_45-64_Bachelor_degree,Male_45-64_Graduate_or_professional_degree,Male_65_and_older_Less_than_9th_grade,"Male_65_and_older_9th_to_12th_grade,_no_diploma",Male_65_and_older_High_school_graduate_(includes_equivalency),"Male_65_and_older_Some_college,_no_degree",Male_65_and_older_Associate_degree,Male_65_and_older_Bachelor_degree,Male_65_and_older_Graduate_or_professional_degree,Female_High_school_graduate_(includes_equivalency),Female_Bachelor_degree,Female_Graduate_or_professional_degree,Female_18-24_Less_than_9th_grade,"Female_18-24_9th_to_12th_grade,_no_diploma",Female_18-24_High_school_graduate_(includes_equivalency),"Female_18-24_Some_college,_no_degree",Female_18-24_Associate_degree,Female_18-24_Bachelor_degree,Female_18-24_Graduate_or_professional_degree,Female_25-34_Less_than_9th_grade,"Female_25-34_9th_to_12th_grade,_no_diploma",Female_25-34_High_school_graduate_(includes_equivalency),"Female_25-34_Some_college,_no_degree",Female_25-34_Associate_degree,Female_25-34_Bachelor_degree,Female_25-34_Graduate_or_professional_degree,Female_35-44_Less_than_9th_grade,"Female_35-44_9th_to_12th_grade,_no_diploma",Female_35-44_High_school_graduate_(includes_equivalency),"Female_35-44_Some_college,_no_degree",Female_35-44_Associate_degree,Female_35-44_Bachelor_degree,Female_35-44_Graduate_or_professional_degree,Female_45-64_Less_than_9th_grade,"Female_45-64_9th_to_12th_grade,_no_diploma",Female_45-64_High_school_graduate_(includes_equivalency),"Female_45-64_Some_college,_no_degree",Female_45-64_Associate_degree,Female_45-64_Bachelor_degree,Female_45-64_Graduate_or_professional_degree,Female_65_and_older_Less_than_9th_grade,"Female_65_and_older_9th_to_12th_grade,_no_diploma",Female_65_and_older_High_school_graduate_(includes_equivalency),"Female_65_and_older_Some_college,_no_degree",Female_65_and_older_Associate_degree,Female_65_and_older_Bachelor_degree,Female_65_and_older_Graduate_or_professional_degree,Household_mean_income_(dollars),Families_mean_income_(dollars),Married-couple-families_mean_income_(dollars),Nonfamily_households_mean_income_(dollars),Total_Male,Total_Female,Male_High_school_graduate_(includes_equivalency)_Normalized,Male_Bachelor_degree_Normalized,Male_Graduate_or_professional_degree_Normalized,Female_High_school_graduate_(includes_equivalency)_Normalized,Female_Bachelor_degree_Normalized,Female_Graduate_or_professional_degree_Normalized,Male_High_school_graduate_(includes_equivalency)_Normalized_Average,Male_Bachelor_degree_Normalized_Average,Male_Graduate_or_professional_degree_Normalized_Average,Female_High_school_graduate_(includes_equivalency)_Normalized_Average,Female_Bachelor_degree_Normalized_Average,Female_Graduate_or_professional_degree_Normalized_Average
2018,Maryland,594661,455014,364668,4316,29665,93127,98720,13304,30357,2223,11504,23311,98433,88789,30739,107284,51955,17931,22019,93656,67982,25263,77717,73930,27277,49618,211207,143919,41740,162335,146201,19277,33561,98238,63352,19371,77321,90359,582704,528335,430239,2852,20416,74743,107239,15081,41231,3750,8474,17230,72993,85755,32500,119277,78282,17446,15729,68320,64123,33265,97003,100695,23258,38413,198580,169704,67657,186377,168407,30413,40670,168068,95607,31252,84447,79105,110501,134463,155804,65796,2246001,2458362,26.5,20.3,16.2,23.7,21.5,17.5,26.62,20.76,17,23.46,22.14,18.8
2018,Massachusetts,680269,606355,459856,5930,37766,103913,135289,8518,51846,5768,11926,22245,111976,78763,29227,162466,80831,14549,21709,97586,57768,25014,103002,92632,37897,45507,245249,140979,62850,197423,171345,36502,30029,121545,71638,32178,91618,109280,636030,692078,525407,3116,27496,86203,149441,12937,67719,6353,8061,15855,74372,78017,30470,173406,112717,13490,16540,68780,61940,33201,120530,115399,36749,40037,206920,154811,102756,231948,188244,52032,43176,199755,97628,50991,98475,102694,77682,93320,108672,47147,2652764,2882259,25.6,22.9,17.3,22.1,24,18.2,25.9,23.86,17.84,22.1,24.46,19.54
2018,Michigan,1158289,629653,387195,7887,64148,161638,189029,20869,42885,4677,11091,43025,179688,169365,51505,147615,56764,16399,39040,160944,132450,48705,108187,73554,34430,85342,429380,296068,113592,214063,145920,35022,55375,226639,172669,56315,116903,106280,1114026,708102,414150,5321,41970,137822,201211,24702,55619,4026,9580,33456,127301,162958,68720,162238,68047,14019,31589,109604,129741,74840,130433,96057,29579,67323,376851,325117,171515,248990,154308,39771,67383,362448,206579,72535,110822,91712,93047,112398,126066,55215,3817463,4014187,30.3,16.5,10.1,27.8,17.6,10.3,30.68,17.34,10.5,27.7,18.62,11.26
2018,Minnesota,558942,463619,226296,3911,31943,82294,92407,15391,27266,1182,6179,17957,84996,82427,48835,112546,34306,9537,19857,77755,72566,47802,86973,47225,17777,30657,194616,152864,83867,158357,82460,15396,19890,119281,83026,25861,78477,61123,504960,524816,254283,1805,23044,60321,100432,17469,40319,2119,6366,12404,52228,67100,53147,126920,54130,11243,12287,48182,64376,51755,102584,62825,15517,18790,164290,161989,98434,172651,93818,19727,19221,179939,107148,35812,82342,41391,61944,73550,90614,37612,2127007,2182125,26.3,21.8,10.6,23.1,24.1,11.7,26.72,22.82,10.94,22.42,24.88,12.76
2018,Mississippi,348667,129276,72604,3110,21260,53707,59222,9893,8580,460,7002,18719,56651,46593,18312,26199,9033,7361,19408,61193,40041,18563,23253,15015,20571,40953,116538,77210,30131,44571,26562,19452,23255,60578,43182,10995,26673,21534,327940,175167,102374,1397,17516,33537,66565,16591,11162,525,4107,13614,41672,52257,28234,37927,18707,6497,12178,42212,41106,32048,36523,25298,15453,27340,117349,85434,44405,61174,35446,20156,32529,93170,54433,17687,28381,22398,75013,89955,103337,45926,1085780,1195028,32.1,11.9,6.7,27.4,14.7,8.6,33.06,12.26,6.9,27.88,15.28,9.3
2018,Missouri,746712,383442,215260,5265,33917,100588,108925,13331,24190,2245,6537,23415,119557,101010,33832,93171,32148,10268,24680,114614,78172,31572,71079,41568,19218,57182,261820,170672,55089,128429,78777,22800,35049,150133,97821,23922,66573,60522,700694,427083,269756,3142,27860,76571,118340,18353,31429,1783,6446,18697,81918,102560,41654,101921,56266,7643,21172,74926,79521,39988,83836,63304,16898,51605,236709,185701,80596,147117,96425,30105,46662,230570,121812,34347,62780,51978,72648,88561,98250,44313,2298091,2450635,32.5,16.7,9.4,28.6,17.4,11,33.14,17.66,9.96,28.6,18.78,11.76
2018,Montana,129639,76390,38954,239,6992,19202,19086,2320,4251,109,723,2616,22486,14439,7195,15588,4064,1539,3075,18644,15299,6345,14238,6961,1541,7663,41021,35260,11810,23257,14395,2980,4646,28286,22120,5680,19056,13425,108174,86598,42339,449,5273,13115,16451,2576,6289,227,639,1652,15016,17438,8384,16851,6885,809,1245,11506,14520,8794,15937,9751,1660,5325,34020,36154,15838,29730,15209,3484,5482,34517,25154,7351,17791,10267,78793,95522,107629,45346,416551,415789,31.1,18.3,9.4,26,20.8,10.2,31.02,19.78,9.74,26.78,22.14,10.72
2018,Nebraska,196068,137083,66975,1454,9951,30397,37232,5905,9548,347,3858,6098,29869,29943,16601,33479,11242,6208,7938,27814,24711,15521,26906,15706,9777,11252,64911,52089,26569,42989,22695,6914,7261,43077,29696,8751,24161,16985,186688,156300,75213,1338,7637,25959,38155,5073,14160,786,3156,4471,22967,27016,13504,37093,17458,4659,4973,18834,22100,16968,33325,19233,7383,8870,57395,56076,27845,46957,25983,5705,9823,61533,41687,11887,24765,11753,81039,93915,107279,55079,717855,736527,27.3,19.1,9.3,25.3,21.2,10.2,27.64,19.78,9.62,24.3,22.14,11.24
2018,Nevada,347325,174975,90500,1883,18628,57015,38631,4445,5764,291,5709,19722,74034,63155,16212,38776,9775,12024,19280,58176,50162,17091,33174,15039,24466,32219,106546,100669,31337,56864,34067,10757,13187,51554,58069,18624,40397,31328,337157,178171,92090,2095,16365,45805,43448,6381,7707,140,6032,18693,60091,55996,19119,40364,15035,8878,17358,49529,49377,17125,38627,19288,25376,24933,107577,98149,36433,58073,36904,16803,18618,74155,66828,20677,33400,20723,97994,117181,129591,58317,1169070,1176102,29.7,15,7.7,28.7,15.1,7.8,30.14,15.78,8.18,27.98,16.82,8.7
2018,New_Hampshire,162979,111633,67445,322,5676,24199,23934,2357,7595,715,1122,5312,27893,17235,6432,20691,8356,1075,3947,21798,14986,7370,18124,10096,3873,9014,59975,36126,21031,40981,27213,5550,6486,29114,17039,8606,24242,21065,150852,121999,74544,1186,4510,20430,24439,2487,8755,977,740,2665,16913,15884,8521,23860,12198,1733,1320,15009,13527,9799,21509,14672,3770,7030,54899,37778,25597,45866,29652,5826,7047,43601,25652,11874,22009,17045,114853,135042,156499,65708,539550,558780,30.2,20.7,12.5,27,21.8,13.3,30.08,22.2,13.04,26.24,22.96,14.92
2018,New_Jersey,911036,770738,487645,5211,42989,123143,140786,19860,54048,5611,18880,24028,144920,113906,39718,175892,67975,29557,28585,137356,93246,33863,143503,105504,49034,60263,336573,203067,72800,271541,195263,48184,42828,169044,93143,28278,125754,113292,938558,887784,516116,3968,29313,97053,142924,25734,69153,8479,12026,20307,94045,96112,43652,198422,101210,19263,27154,105783,84555,41588,169247,128387,48720,52499,326585,213313,105645,327126,189841,64662,61506,315092,120762,43709,123836,88199,66752,79184,94878,43158,3357645,3599870,27.1,23,14.5,26.1,24.7,14.3,27.1,23.96,15.08,25.62,25.34,15.5
2018,New_Mexico,221795,109108,79937,1362,19160,35410,36930,4408,4890,320,3835,16897,43877,40551,11366,20855,8350,6455,14680,37248,29666,10865,17624,12384,17459,23199,72069,53824,17902,35342,28048,17324,10033,33191,35569,10976,30397,30835,211147,124293,90692,1372,13237,27509,41953,5051,6776,332,2534,9687,33384,37961,14197,24039,11620,4945,11224,29238,29035,12375,23693,16829,14139,19711,66120,63966,24711,41707,34390,17657,16909,54896,44005,11089,28078,27521,100422,118065,139882,65700,793301,821890,28,13.8,10.1,25.7,15.1,11,29.24,14.14,10.98,25.18,16.24,12.34
2018,New_York,2024289,1482247,988642,15692,98095,264818,346754,50998,116806,11322,51868,86146,346234,244140,118262,413360,181508,63989,80996,302906,180996,102786,268992,198192,143727,187223,731104,391055,218020,455575,358866,126857,112995,379227,207289,88471,227514,238754,2012766,1638296,1287274,9529,75159,225448,356633,57062,156967,19898,41697,65200,246703,214373,126012,453376,284019,54002,69217,230906,170649,122163,297047,290984,150676,174294,692167,412482,295236,504677,438453,195074,153403,617542,262167,122623,226229,253920,76693,91208,107378,46421,7411537,8065987,27.3,20,13.3,25,20.3,16,26.72,21.08,13.98,24.34,21.4,17.04
2018,North_Carolina,1086806,701247,371406,8502,66483,181823,183709,23729,41719,2386,22493,52173,181159,168468,58331,155136,48502,34901,52912,155051,131329,54166,130672,78799,58296,114355,372980,257659,114287,251164,136121,52641,65541,195793,140417,55316,122556,105598,1026450,858178,446811,5568,44860,129073,202711,27319,63028,3708,15720,36623,129188,162806,79111,192812,79788,26748,37436,116836,135055,81853,161828,112818,42386,83018,333630,311748,179888,302981,162343,51912,87725,317723,189605,78064,137529,88154,82435,104400,117578,47938,3875167,4211595,28,18.1,9.6,24.4,20.4,10.6,28.24,19.34,10.42,24.1,21.38,12.02
2018,North_Dakota,86362,53524,16815,441,3278,13977,20472,3887,2935,0,912,3340,15868,14650,10405,15720,2763,828,1889,11078,9405,7978,12685,4187,2199,3545,27927,20863,14765,14380,5781,4175,3398,17512,12184,4609,7804,4084,66280,65212,21360,58,1699,9170,18348,4953,5137,229,978,2929,8617,8877,8652,17779,5244,666,662,5586,9008,7594,13216,6090,2200,2772,23727,18942,15007,18201,6431,5030,2985,19180,15522,5705,10879,3366,76151,91796,107928,46958,299924,285439,28.8,17.8,5.6,23.2,22.8,7.5,28.28,18.6,7.02,23.66,23.36,8.92
2018,Ohio,1522101,723469,416573,9215,70294,205835,195960,18542,44935,2885,16153,45933,246439,168862,60918,162471,70540,17901,46861,206936,150321,58862,137586,76642,34475,104613,553538,303137,112225,253705,154934,38240,74943,309353,170038,45959,124772,111572,1474630,816809,485104,9850,48935,164925,207523,24547,64329,4196,14038,38353,168597,175080,80733,190259,94728,16985,32770,155037,149912,81994,152625,112331,31231,82560,508354,318246,185756,280255,177976,49241,102103,477717,202723,64288,129341,95873,71632,83981,97515,44234,4405595,4693411,34.5,16.4,9.5,31.4,17.4,10.3,34.82,17.28,9.88,31.14,18.32,11.24
2018,Oklahoma,487301,212274,112592,3405,32220,71981,70202,7897,10821,856,8339,21568,92939,66800,18712,45960,17517,10162,21813,83340,51962,21116,39141,21386,20653,42528,156485,105663,33821,70068,39386,14860,19774,82556,62501,16315,46284,33447,461082,247978,122915,2672,21815,59468,72405,9483,14861,1060,4991,14609,74111,71436,27346,55401,23007,8138,15670,58898,56482,25078,52589,26302,16440,36678,146247,115345,44834,81553,43498,15230,29807,122358,83688,20159,43574,29048,85235,100844,113268,54759,1462478,1524281,33.3,14.5,7.7,30.2,16.3,8.1,33.74,15.62,8,29.98,17.44,8.72
2018,Oregon,398713,309681,185592,2586,26486,66942,65791,9635,14176,1234,8447,20329,74982,79808,24999,68607,24653,14731,19629,59717,61474,24084,59447,39375,21750,40357,123298,126365,48387,101127,62866,12353,16970,73774,88638,25257,66324,57464,373990,346640,197963,1817,18098,49950,73830,13277,20955,968,6292,13596,52766,73138,29280,82911,32847,11140,16474,45512,62576,26279,66623,49772,17693,28061,116604,141538,56826,110726,67683,13958,18145,109158,111056,34396,65425,46693,83765,100919,116460,50214,1632062,1686063,24.4,19,11.4,22.2,20.6,11.7,25.32,19.86,11.84,22.16,21.6,12.82
2018,Pennsylvania,1767599,896591,528711,11531,67672,228332,193341,23220,63710,3453,17953,49333,269458,145211,68806,225123,84543,22708,44200,234101,125523,66755,154966,100325,46421,104252,656725,261693,137941,296306,195047,48276,74209,378983,155147,62381,156486,145343,1760007,971559,619870,10360,48860,185276,217432,24543,81214,5872,18106,33233,184323,149506,83081,235335,131062,19369,30655,167831,115383,86387,184438,143472,41199,87969,615800,291793,193821,324887,217218,65274,108941,606777,188148,74473,145685,122246,86601,105679,124441,53091,4919474,5239969,35.9,18.2,10.7,33.6,18.5,11.8,35.42,19.14,11.32,32.56,19.52,13.02
2018,Rhode_Island,125851,78775,49022,794,4842,21269,19909,2055,6692,129,1653,2739,20959,16102,5667,18968,8115,2510,3737,18700,12282,4016,13094,7147,6145,10817,43571,21620,10815,26260,20162,7280,6489,21352,11900,5304,13761,13469,121695,84111,59296,168,3961,15671,23850,3650,8687,1035,720,1957,16962,16680,6063,18429,11335,1442,2828,14374,12677,6425,14535,9370,6645,8142,38214,28127,16309,29503,22234,8247,9235,36474,13853,7002,12957,15322,72742,86121,102419,44777,410324,443083,30.7,19.2,11.9,27.5,19,13.4,29.46,20.64,12.38,26.34,20.8,14.44
2018,South_Carolina,603846,312223,161405,3852,34625,94820,93142,11502,15668,1103,7330,27298,96837,73035,29449,65296,21068,10246,28664,92689,61905,28189,52823,28088,21001,57452,209608,120214,53262,106144,55036,27737,31519,109892,70773,30933,72292,56110,602272,355640,203069,2076,24319,67668,101795,10562,25051,1180,5487,21501,74732,73046,43031,82177,34068,6850,18207,74958,67693,41326,64915,46810,15769,45474,211696,137442,86136,122065,73584,30997,47959,173218,97073,42392,61432,47427,74046,90012,102198,43453,1899602,2080116,31.8,16.4,8.5,29,17.1,9.8,31.22,17.82,9.48,27.84,18.36,11.36
2018,South_Dakota,111724,58050,26598,687,6071,14226,15282,2981,2791,219,1505,3220,17332,12377,8747,14014,5207,845,2442,15384,10160,8237,11874,4696,2686,5137,40744,21420,11611,17264,9222,3329,3662,24038,13378,4216,12107,7254,94093,68340,26624,654,4691,11080,16394,3642,5656,548,831,2923,9943,10802,8331,16014,5054,843,2528,11125,8529,8978,13823,5703,2868,4841,31960,22369,14881,21041,8981,3408,4089,29985,16911,5837,11806,6338,73456,86674,100884,45650,334365,333407,33.4,17.4,8,28.2,20.5,8,32.16,18.52,8.18,27.66,21.56,9.02
2018,Tennessee,854251,404407,218669,5011,40594,111847,114183,14883,24866,1402,13443,29562,151947,103224,27237,95108,32616,16770,31723,144101,83255,28939,69200,42438,35266,74695,301700,168302,56044,138786,81005,38907,46606,144656,98251,23183,76447,61208,837983,454638,261161,3389,27735,103255,119359,16106,32563,4619,6666,22774,118098,112969,41965,112999,46175,11534,27878,103191,89474,43273,90199,64463,32516,65287,285363,196253,91185,156322,92081,51499,59823,228076,123523,36240,62555,53823,85780,98400,115373,53805,2527405,2733230,33.8,16,8.7,30.7,16.6,9.6,34.08,17.08,9.3,30.14,18.5,10.68
2018,Texas,2857611,1811714,981306,27758,202824,533919,530660,60038,94366,10104,91465,167231,606280,523020,143580,429981,163157,152496,183604,502202,390683,141998,367317,219937,302333,301511,864820,655369,224459,606732,370047,192748,109300,350390,329449,92614,313318,218061,2738158,2045987,1018008,16673,159976,433994,529456,73728,136288,15480,62421,133167,468013,495017,179205,511310,208113,119130,161140,405819,388977,170418,445806,261096,298658,271345,846726,744765,266977,675457,355716,259488,157932,583606,422216,115748,277126,177603,91096,101654,110804,55679,10473771,10828590,27.3,17.3,9.4,25.3,18.9,9.4,27.3,18.48,10.12,24.9,20.2,10.38
2018,Utah,267357,213537,135721,2654,21893,62906,76551,10224,7601,1278,3821,13102,57515,62797,25185,53341,20324,6455,14629,45650,45294,22856,54304,34384,7545,16708,67831,80006,24532,63802,46648,4997,6526,33455,39738,11776,34489,33087,266875,237698,90830,891,15311,47919,75172,18510,16073,389,5023,10063,46676,50428,30564,65684,18821,5409,9940,45909,48595,25503,57520,21505,8739,13864,73412,82063,35711,65966,32481,5372,9889,52959,53239,15681,32455,17634,100884,118509,136352,62658,1113904,1115370,24,19.2,12.2,23.9,21.3,8.1,24.86,20.28,12.48,23.62,22.24,8.8
2018,Vermont,80187,51060,29613,455,2835,13243,12249,1110,3565,296,575,1359,10955,7325,2293,12309,2631,151,2261,9154,6919,3128,8019,4853,1404,5556,29086,14444,7522,17239,11465,3129,3046,17749,9133,3423,9928,10368,69730,60273,40405,64,1633,9325,14631,641,4700,201,173,466,6223,8555,2560,13232,6402,162,1324,7287,6299,3357,10584,6615,877,2921,25909,14184,10578,19507,16086,1815,3684,20986,11991,5272,12250,11101,99762,114679,129662,66278,249177,261595,32.2,20.5,11.9,26.7,23,15.4,31.48,21.82,13.02,25.02,23.78,17.96
2018,Virginia,857370,646703,492762,5737,43924,152017,158110,18761,43481,2818,14433,32968,156923,124606,47937,156167,62883,20468,33163,125980,100090,37982,125475,107647,40431,76418,284620,185421,74390,214904,200122,46265,45417,137830,100140,28761,106676,119292,805865,751308,511108,2978,33075,113157,165181,21674,58489,6636,9827,19892,105187,116795,55258,164452,102860,18533,23981,96015,99087,53282,148572,124291,34591,61457,262967,225165,110074,259017,189451,45251,65290,228539,140234,45882,120778,87870,61707,74688,85454,37392,3232257,3415788,26.5,20,15.2,23.6,22,15,27.08,20.76,15.84,23.46,22.92,16.02
2018,Washington,706245,612312,363948,4632,45307,122641,113995,22695,30627,2994,13119,35910,143809,131301,55137,157016,59532,21708,33443,108188,103525,51093,116405,77569,34803,51088,219933,216376,94273,194482,126404,18978,20082,111674,124711,45679,113782,97449,634360,646212,367614,3463,32890,84142,120853,30989,40389,2972,11315,25063,101200,118459,64102,159928,77478,18098,23454,79380,99780,56724,124955,92006,35311,38453,200805,235644,112578,209225,122004,26619,30040,168833,167407,53864,111715,73154,79656,96441,109032,48083,2920360,2953292,24.2,21,12.5,21.5,21.9,12.4,24.56,21.7,13.16,21.68,22.88,13.76
2018,West_Virginia,292528,87215,47998,1029,9761,36256,27989,2704,6334,312,2250,8223,41733,20542,6259,18026,7302,1740,9098,43848,26259,8184,14217,7532,10127,23237,107241,41544,14350,29557,16657,15076,14652,63450,29321,6953,19081,16195,276505,90132,62289,305,10004,24438,30913,3896,7399,486,808,5320,32061,25602,9855,20091,10930,1641,6168,32705,24581,14551,16581,11698,4934,19690,96277,47921,26138,30422,23665,13928,19693,91024,30731,9963,15639,15510,81935,98769,108010,50447,707039,735568,41.4,12.3,6.8,37.6,12.3,8.5,42.32,12.62,7.5,36.96,13.94,9.1
2018,Wisconsin,728703,381677,203206,4601,29978,96360,106165,15481,25524,2147,7553,19314,106651,86271,43017,85100,28426,10121,20018,103723,70544,42932,72550,37615,19561,49576,260601,156694,83357,129375,76897,17079,28589,161368,84461,31176,69128,58121,665800,457167,224088,3451,21062,75668,114833,13780,37787,2604,7144,13509,69200,80303,44089,105130,40058,8068,11746,67087,67107,52056,87807,55302,16017,34288,226333,168736,104593,154191,82879,22478,30158,227512,103534,37382,72252,43245,32044,36583,47622,20170,2240074,2301389,32.5,17,9.1,28.9,19.9,9.7,32.56,18.62,9.14,28.74,21.4,10.62
2018,Wyoming,74929,32934,20357,140,3574,10674,8358,979,1975,188,545,2639,12985,12149,3899,5926,3198,1073,2095,10345,8971,4884,6197,4268,931,3092,26427,17052,7827,11493,6731,1240,1984,14498,12045,2978,7343,5972,57258,36932,19315,118,4551,8162,8980,2014,1442,350,595,1286,7840,10419,3703,8799,3271,230,1356,7120,7398,6017,7827,4624,1420,1948,18561,22255,9905,12136,7142,1203,4672,15575,13515,4876,6728,3928,124946,165174,227903,92251,224675,219966,33.3,14.7,9.1,26,16.8,8.8,32.3,15.66,9.4,25.78,18.5,9.82
2018,Puerto_Rico,377840,177234,71680,5979,11213,48781,70789,12340,9617,660,10230,10314,58841,32496,25015,38873,10250,13468,17104,59245,22494,26063,34248,15300,49483,33596,132691,52884,36371,60731,28605,89966,36185,78282,20928,11886,33765,16865,351785,282304,109846,2483,8347,36142,75040,11638,19229,855,5315,7374,44183,33234,29644,58535,17141,10069,6685,49425,27738,32721,53838,28581,38894,30353,119438,59795,57380,103703,44466,118817,37052,102597,26473,22598,46999,18803,79514,97098,107993,50272,1215558,1385585,31.1,14.6,5.9,25.4,20.4,7.9,31.06,15.66,6.14,25.08,22.12,8.54
2019,Alabama,597377,266467,151230,2962,30404,85196,84607,11400,11150,929,10176,30636,104181,69521,26817,52387,22921,11705,28345,90862,58743,27036,50465,26466,23666,60153,202614,117669,48917,93613,56270,25668,33566,114524,73604,22185,58852,44644,600625,313919,188737,1935,21153,73565,99811,11501,21261,1656,6577,20735,81899,78692,33174,67557,32130,11289,22291,71718,64749,39455,61913,40702,16581,52136,195679,140610,71716,110189,72791,24658,54891,177764,96885,32614,52999,41458,71478,85630,101086,42510,1812854,2004734,33,14.7,8.3,30,15.7,9.4,,,,,,
2019,Alaska,93819,41204,25340,326,5320,15718,14292,2210,724,0,754,3562,20902,18971,6004,8900,3190,686,1800,12866,12164,5241,9625,4871,2511,3701,31738,24099,7848,14065,10375,1894,1579,12595,11027,2904,7890,6904,72510,51359,31375,183,2618,11455,11586,909,2256,141,961,3645,14177,14131,4293,12945,5543,519,1565,9279,10665,5683,10373,7698,1315,3241,22710,21886,8257,18650,12061,1784,1573,14889,11318,3164,7135,5932,98504,115639,130245,61602,287256,264540,32.7,14.3,8.8,27.4,19.4,11.9,,,,,,
2019,Arizona,729966,473697,281045,6526,52651,136413,117604,14768,27656,2997,16211,51210,142682,135505,40855,97256,36377,23662,41414,116794,102830,40546,80035,50254,53056,65754,205286,210157,67233,152144,92718,32673,29839,128791,144329,50550,116606,98699,687467,521949,285400,4344,37467,110335,124798,19690,36952,2328,10098,35862,103848,137571,45727,107348,41044,20070,35339,90367,93800,44039,99622,59761,51230,56348,196307,229682,87064,167032,103161,45459,44773,186610,182971,55840,110995,79106,84438,97314,112220,55773,2782081,2856988,26.2,17,10.1,24.1,18.3,10,,,,,,
2019,Arkansas,417102,148114,77504,2208,16760,54261,52896,7364,9613,721,6748,11593,72220,42563,13524,32178,12785,8518,14294,70406,38651,10183,28492,16236,18890,33247,141786,75635,23132,46026,26405,15685,21966,78429,52870,9893,31805,21357,390606,182830,92384,1635,12670,43141,57873,8063,14146,985,3635,12740,57934,48483,18002,39756,14441,6586,10907,48757,42932,22903,34244,24075,14702,25577,130803,80831,37997,61599,31803,19612,30293,109971,62087,16104,33085,21080,68219,81640,94373,40235,1119340,1199452,37.3,13.2,6.9,32.6,15.2,7.7,,,,,,
2019,California,3493594,2978076,1765499,25940,187753,647649,758689,88447,171744,11867,117773,222848,763090,715616,220462,778072,298477,206831,235826,588684,517736,184998,580391,368205,499627,415421,1033067,948139,343795,933609,636314,287184,156103,461104,527844,202712,514260,450636,3204331,3312178,1800141,18630,135459,503565,782138,107607,228786,15013,82723,159050,553309,651100,241685,869749,362098,186525,191713,465318,480594,218547,634989,438554,525821,353068,960812,1023224,450174,1019505,625335,439751,221249,721327,678119,256419,559149,359141,113563,126354,146865,78815,15100913,15520246,23.1,19.7,11.7,20.6,21.3,11.6,,,,,,
2019,Colorado,531931,548866,310487,4586,34240,92935,103699,10787,29103,1318,12328,19527,122336,101189,33002,144687,42148,15900,22466,84082,82177,33576,113737,62392,24747,33387,159515,141114,58339,173688,115907,13950,15556,73063,81630,25940,87651,88722,472614,576947,331700,4057,22678,75020,94018,13055,38885,3092,7974,16471,74465,80202,36728,150849,65721,12742,19221,59259,70631,37267,117920,73936,21676,26533,143429,139628,75350,182519,120800,18385,21357,120441,108999,34759,86774,68151,103518,121598,135408,67652,2259424,2242992,23.5,24.3,13.7,21.1,25.7,14.8,,,,,,
2019,Connecticut,387297,280921,207584,2266,20298,57891,65370,7973,19702,1753,4617,12913,60677,45308,13533,63771,26387,9087,11575,57907,32024,14157,49034,37557,17091,28384,142336,78402,35652,96689,82543,19232,17311,68486,42503,17026,51725,59344,383239,320932,241542,1635,10961,44284,67997,6329,32985,1991,4283,7528,44191,37547,16404,65764,41586,5545,9958,40117,35655,18025,52262,54064,15763,22008,137368,81940,48226,117561,91949,23514,23030,117279,57593,27677,52360,51952,114630,140129,165689,64185,1370524,1467331,28.3,20.5,15.1,26.1,21.9,16.5,,,,,,
2019,Delaware,114612,65743,43562,476,5139,15862,15845,822,3024,37,1928,4756,21837,13357,4438,13507,4728,3670,4657,13984,10933,3467,10846,7993,2846,8897,40798,18830,10111,23505,15480,3044,5757,22131,18488,5563,14861,15324,119894,76472,50684,0,3598,11002,19748,1753,4904,297,1615,3009,15824,13159,6317,14757,9180,3986,1774,11773,11219,5303,14050,10049,3256,6635,39993,23879,13612,28007,19708,3580,7112,41302,18198,8074,14754,11450,92445,109065,124535,58190,366941,402877,31.2,17.9,11.9,29.8,19,12.6,,,,,,
