Year,State,Male_High_school_graduate_(includes_equivalency),Male_Bachelor_degree,Male_Graduate_or_professional_degree,Male_18-24_Less_than_9th_grade,"Male_18-24_9th_to_12th_grade,_no_diploma",Male_18-24_High_school_graduate_(includes_equivalency),"Male_18-24_Some_college,_no_degree",Male_18-24_Associate_degree,Male_18-24_Bachelor_degree,Male_18-24_Graduate_or_professional_degree,Male_25-34_Less_than_9th_grade,"Male_25-34_9th_to_12th_grade,_no_diploma",Male_25-34_High_school_graduate_(includes_equivalency),"Male_25-34_Some_college,_no_degree",Male_25-34_Associate_degree,Male_25-34_Bachelor_degree,Male_25-34_Graduate_or_professional_degree,Male_35-44_Less_than_9th_grade,"Male_35-44_9th_to_12th_grade,_no_diploma",Male_35-44_High_school_graduate_(includes_equivalency),"Male_35-44_Some_college,_no_degree",Male_35-44_Associate_degree,Male_35-44_Bachelor_degree,Male_35-44_Graduate_or_professional_degree,Male_45-64_Less_than_9th_grade,"Male_45-64_9th_to_12th_grade,_no_diploma",Male_45-64_High_school_graduate_(includes_equivalency),"Male_45-64_Some_college,_no_degree",Male_45-64_Associate_degree,Male_45-64_Bachelor_degree,Male_45-64_Graduate_or_professional_degree,Male_65_and_older_Less_than_9th_grade,"Male_65_and_older_9th_to_12th_grade,_no_diploma",Male_65_and_older_High_school_graduate_(includes_equivalency),"Male_65_and_older_Some_college,_no_degree",Male_65_and_older_Associate_degree,Male_65_and_older_Bachelor_degree,Male_65_and_older_Graduate_or_professional_degree,Female_High_school_graduate_(includes_equivalency),Female_Bachelor_degree,Female_Graduate_or_professional_degree,Female_18-24_Less_than_9th_grade,"Female_18-24_9th_to_12th_grade,_no_diploma",Female_18-24_High_school_graduate_(includes_equivalency),"Female_18-24_Some_college,_no_degree",Female_18-24_Associate_degree,Female_18-24_Bachelor_degree,Female_18-24_Graduate_or_professional_degree,Female_25-34_Less_than_9th_grade,"Female_25-34_9th_to_12th_grade,_no_diploma",Female_25-34_High_school_graduate_(includes_equivalency),"Female_25-34_Some_college,_no_degree",Female_25-34_Associate_degree,Female_25-34_Bachelor_degree,Female_25-34_Graduate_or_professional_degree,Female_35-44_Less_than_9th_grade,"Female_35-44_9th_to_12th_grade,_no_diploma",Female_35-44_High_school_graduate_(includes_equivalency),"Female_35-44_Some_college,_no_degree",Female_35-44_Associate_degree,Female_35-44_Bachelor_degree,Female_35-44_Graduate_or_professional_degree,Female_45-64_Less_than_9th_grade,"Female_45-64_9th_to_12th_grade,_no_diploma",Female_45-64_High_school_graduate_(includes_equivalency),"Female_45-64_Some_college,_no_degree",Female_45-64_Associate_degree,Female_45-64_Bachelor_degree,Female_45-64_Graduate_or_professional_degree,Female_65_and_older_Less_than_9th_grade,"Female_65_and_older_9th_to_12th_grade,_no_diploma",Female_65_and_older_High_school_graduate_(includes_equivalency),"Female_65_and_older_Some_college,_no_degree",Female_65_and_older_Associate_degree,Female_65_and_older_Bachelor_degree,Female_65_and_older_Graduate_or_professional_degree,Household_mean_income_(dollars),Families_mean_income_(dollars),Married-couple-families_mean_income_(dollars),Nonfamily_households_mean_income_(dollars),Total_Male,Total_Female,Male_High_school_graduate_(includes_equivalency)_Normalized,Male_Bachelor_degree_Normalized,Male_Graduate_or_professional_degree_Normalized,Female_High_school_graduate_(includes_equivalency)_Normalized,Female_Bachelor_degree_Normalized,Female_Graduate_or_professional_degree_Normalized,Male_High_school_graduate_(includes_equivalency)_Normalized_Average,Male_Bachelor_degree_Normalized_Average,Male_Graduate_or_professional_degree_Normalized_Average,Female_High_school_graduate_(includes_equivalency)_Normalized_Average,Female_Bachelor_degree_Normalized_Average,Female_Graduate_or_professional_degree_Normalized_Average
2018,Georgia,1165057,676077,388846,10474,85570,189699,173031,19835,42924,2028,26481,56966,210878,166498,48274,149056,54573,34215,63158,197983,118338,53447,124820,82765,55083,109844,391566,235460,93396,249232,156257,43906,61014,174931,114463,36093,110045,93223,1115179,782641,481186,4811,58358,148415,215700,27400,53477,6288,17287,44244,160624,168162,64568,192282,82350,31580,45582,146193,150205,70625,157372,124761,47641,91562,369517,273872,142151,278476,184400,52527,85009,290430,156146,54220,101034,83387,103162,117062,127885,61409,3835526,4180656,30.4,17.6,10.1,26.7,18.7,11.5,30.18,18.6,10.66,26.32,19.64,12.76
2018,Hawaii,169205,106492,53946,892,5074,29912,22371,4338,3746,363,2014,3580,32640,26535,12543,20463,6254,1349,4936,24826,17516,11025,22328,10541,4564,6800,52413,36129,20460,35437,18539,7204,6471,29414,22110,10733,24518,18249,144033,122141,61610,867,3374,16598,22610,4995,6059,448,852,3385,21918,22526,11482,26742,10091,1703,2490,18413,18266,9137,24143,14868,6671,5258,45905,33794,23649,42041,19896,14175,8627,41199,27776,11528,23156,16307,73369,85210,94653,43870,556287,560949,30.4,19.1,9.7,25.7,21.8,11,30.66,19.28,10.52,26.02,22.7,12.34
2018,Idaho,199633,101234,57069,1108,13602,36104,27614,3036,3838,392,2303,7171,37562,30175,10439,20764,7639,4937,6527,32069,24504,10407,19521,11851,10037,14113,58247,50294,19840,35496,20198,3800,7333,35651,36608,10470,21615,16989,178083,122561,47128,298,10249,23394,32984,4972,6495,1005,2596,5540,29252,27063,12549,29065,5962,4632,3950,22852,27040,14229,25315,11879,8915,10321,52130,55510,24279,39197,17936,3472,8221,50455,40882,11110,22489,10346,91424,109310,127712,56132,652254,656584,30.6,15.5,8.7,27.1,18.7,7.2,30.02,17.16,9.28,25.86,19.76,8.64
2018,Illinois,1336678,946812,569207,7193,72103,191846,220938,29910,72764,6437,20062,51861,224722,180773,67830,248681,98450,40119,55374,206404,159969,64433,175712,118557,77974,107748,452730,329567,125891,308218,215939,58785,60390,260976,170562,47762,141437,129824,1288059,1048371,663035,6267,51204,163606,224099,36995,88753,6787,15054,32244,164423,179915,80110,264161,137231,34411,38768,150358,152530,79817,201234,166704,73578,82609,412004,368788,168708,345194,236973,83897,81908,397668,222670,70300,149029,115340,73733,87828,101937,44383,4801941,5083337,27.8,19.7,11.9,25.3,20.6,13,27.86,20.54,12.38,24.92,21.7,13.94
2018,Indiana,865933,394611,204480,7850,50837,116898,122216,10766,28013,1806,14103,35029,140933,93445,34400,92800,29264,17009,33317,125342,82726,37505,75508,39878,29818,62512,312779,156405,70166,133875,76179,24237,38320,169981,80766,27465,64415,57353,826847,440916,238647,5751,37264,95842,127535,14381,35703,2066,11868,24610,99187,104581,43993,108842,41191,17342,23395,87832,85464,52847,95357,52951,22678,56548,285481,175193,98281,150637,85476,27417,53631,258505,108549,33167,50377,56963,77173,93160,105600,46426,2493916,2630905,34.7,15.8,8.2,31.4,16.8,9.1,35.2,16.46,8.52,31.54,18,9.7
2018,Iowa,382852,207266,94139,3003,17620,47983,64215,11260,17525,507,4092,9593,57103,43645,26165,46850,13533,6090,9757,53634,38356,24578,39163,21738,12364,19615,134496,78678,47476,67503,32057,10023,13324,89636,46944,17059,36225,26304,354086,243777,104582,2434,12376,39686,68485,11678,20076,1116,3377,6475,40117,40776,28255,55613,18913,6470,8427,32394,35350,28536,50715,28409,11676,13496,112750,89997,54621,78160,35961,10860,17010,129139,60591,21307,39213,20183,78972,95478,108342,46249,1188114,1234642,32.2,17.4,7.9,28.7,19.7,8.5,33.02,17.98,8.26,27.8,20.56,9.4
2018,Kansas,298592,202351,116647,2322,16364,50071,61533,10284,12726,1545,4801,10019,46092,44675,21169,48337,17110,9344,13379,39902,42215,17530,40106,20900,14194,21025,101104,80441,26469,65168,44844,8695,11042,61423,47095,10603,36014,32248,276120,230330,129590,1398,11373,38888,57971,11954,17587,917,4090,8398,31661,42373,21185,51824,24688,7413,9358,28875,37609,19914,44998,27904,11197,15186,85338,83203,38662,78911,47624,11171,12721,91358,58921,15433,37010,28457,69724,81782,95386,43359,1090789,1115570,27.4,18.6,10.7,24.8,20.6,11.6,28.16,19.54,10.74,24.7,21.14,12.2
2018,Kentucky,597052,229412,134138,4851,24466,91051,71620,9078,14224,1866,7610,22822,93298,72454,22241,48582,22944,11298,22202,93331,57716,21846,43688,27670,30505,50823,213842,109783,41768,79931,46144,35706,29604,105530,60539,13512,42987,35514,552473,245916,181696,2562,18103,67563,83871,10665,19014,2273,6275,17502,67658,69098,34850,61185,33001,7206,14694,59852,63737,36767,51286,41814,23953,42240,195798,126476,67716,81352,65064,37583,41041,161602,71887,23264,33079,39544,69225,83031,102373,42467,1681046,1779575,35.5,13.6,8,31,13.8,10.2,36.2,14.4,8.46,31,15.36,10.94
2018,Louisiana,617374,233549,112063,4987,39994,84288,73041,5363,12924,1262,12906,30799,112559,70719,20576,54551,17987,10201,31759,107941,57253,19424,43069,21279,31136,66107,209858,110990,32374,77130,37019,24015,30279,102728,64998,13088,45875,34516,609211,292904,152433,1975,26020,70525,91055,7116,16895,1215,8109,21647,86087,80812,25261,68786,34456,8824,19954,81664,61599,30640,61192,34915,21535,52378,211955,125597,44638,100963,48474,29479,43431,158980,77707,17073,45068,33373,73935,89437,100315,47052,1712995,1849398,36,13.6,6.5,32.9,15.8,8.2,35.96,14.12,7.32,31.56,16.7,9.34
2018,Maine,185575,94117,48814,421,5789,22208,18232,2860,4344,674,694,4093,27099,17011,7472,19261,5110,1208,3649,24140,16205,7073,17012,6901,3868,9436,72313,37043,19379,31607,17363,7370,6352,39815,22786,7891,21893,18766,161650,115047,64421,434,4480,15758,21953,1986,7331,0,1100,2167,15657,17914,8686,24895,8785,1504,1844,14968,19958,7987,19981,11006,2945,7360,62728,40233,25073,39671,24914,6672,8199,52539,29188,11713,23169,19716,109774,128918,149645,67067,527338,562514,35.2,17.8,9.3,28.7,20.5,11.5,33.98,19.28,10.58,28.2,22.14,13.06
